Date,Mountain,x,y
42119,0,-2,-2
42120,0,-2,-2
42121,0,-2,-2
42122,0,-2,-2
42123,0,-2,-2
42124,0,-2,-2
42125,0,-2,-2
42126,0,-2,-2
42127,Kaaterskill High Peak,5,14
42128,0,-2,-2
42129,0,-2,-2
42130,0,-2,-2
42131,0,-2,-2
42132,0,-2,-2
42133,0,-2,-2
42134,0,-2,-2
42135,0,-2,-2
42136,0,-2,-2
42137,0,-2,-2
42138,0,-2,-2
42139,0,-2,-2
42140,0,-2,-2
42141,0,-2,-2
42142,0,-2,-2
42143,0,-2,-2
42144,0,-2,-2
42145,0,-2,-2
42146,0,-2,-2
42147,0,-2,-2
42148,Lone Mountain,5,19
42149,Friday Mountain,5,16
42150,Balsam Cap,5,12
42151,Rocky Mountain,5,1
42152,0,-2,-2
42153,0,-2,-2
42154,0,-2,-2
42155,0,-2,-2
42156,0,-2,-2
42157,0,-2,-2
42158,0,-2,-2
42159,0,-2,-2
42160,0,-2,-2
42161,0,-2,-2
42162,0,-2,-2
42163,0,-2,-2
42164,0,-2,-2
42165,0,-2,-2
42166,0,-2,-2
42167,0,-2,-2
42168,0,-2,-2
42169,0,-2,-2
42170,0,-2,-2
42171,0,-2,-2
42172,0,-2,-2
42173,0,-2,-2
42174,0,-2,-2
42175,Balsam Lake Mountain,6,20
42176,0,-2,-2
42177,0,-2,-2
42178,0,-2,-2
42179,0,-2,-2
42180,0,-2,-2
42181,0,-2,-2
42182,0,-2,-2
42183,0,-2,-2
42184,0,-2,-2
42185,0,-2,-2
42186,0,-2,-2
42187,0,-2,-2
42188,0,-2,-2
42189,0,-2,-2
42190,0,-2,-2
42191,0,-2,-2
42192,0,-2,-2
42193,0,-2,-2
42194,0,-2,-2
42195,0,-2,-2
42196,0,-2,-2
42197,0,-2,-2
42198,0,-2,-2
42199,0,-2,-2
42200,0,-2,-2
42201,0,-2,-2
42202,0,-2,-2
42203,0,-2,-2
42204,0,-2,-2
42205,0,-2,-2
42206,0,-2,-2
42207,0,-2,-2
42208,0,-2,-2
42209,0,-2,-2
42210,0,-2,-2
42211,0,-2,-2
42212,0,-2,-2
42213,0,-2,-2
42214,0,-2,-2
42215,0,-2,-2
42216,0,-2,-2
42217,0,-2,-2
42218,0,-2,-2
42219,0,-2,-2
